pickup_hour,pickup_dayofweek,time_of_day,is_weekend,trip_count,total_fare,avg_fare,avg_tip_pct,avg_distance,avg_duration_min,avg_fare_per_mile,avg_passengers
13,7,midday,True,29,339.5,11.71,6.86,2.62,12.93,7.24,2.03
14,7,midday,True,28,406.5,14.52,10.36,3.55,16.25,5.5,1.36
15,7,midday,True,26,333.0,12.81,9.77,3.01,14.13,6.05,1.88
16,7,evening_rush,True,23,270.0,11.74,12.7,2.69,12.14,5.98,1.74
17,7,evening_rush,True,19,200.0,10.53,7.42,1.91,12.97,9.95,2.05
18,7,evening_rush,True,25,262.0,10.48,7.97,2.22,11.99,5.55,1.8
19,7,evening_rush,True,37,496.0,13.41,12.0,3.12,14.58,5.48,1.65
20,7,night,True,18,244.5,13.58,12.11,3.66,13.9,5.45,1.61
21,7,night,True,32,348.0,10.88,17.54,2.64,10.97,5.63,1.78
22,7,night,True,29,418.0,14.41,11.55,3.65,15.05,5.22,2.07
23,7,night,True,27,421.5,15.61,16.33,4.28,15.88,4.63,1.96
